startDate,period,category,endDate,y
1497,Rennaisance (started 1300),Art,1602,1
1520,Late Rennaisance,Art,1600,2
1600,Baroque,Art,1730,3
1750,Neoclassicism,Art,1830,4
1790,Romanticism,Art,1880,5
1790,Romanticism,Art,1880,6
1826,Photography invented,Art,2014,7
1860,Modern era begins,Art,1945,8
1860,Modern era begins,Art,1945,9
1860,Impressionism,Art,1890,10
1886,Post impressionism,Art,1905,11
1904,Fauvism,Art,1909,12
1916,Dada,Art,1930,13
1920,Harlem Rennaisance,Art,1935,14
1920,American Expressionism,Art,2014,15
1920,Surrealism,Art,2014,16
