,﻿id,name,gender,yearOfBirth,gender_binary
0,10093,"Abakanowicz, Magdalena",Female,1930.0,1
1,0,"Abbey, Edwin Austin",Male,1852.0,0
2,2756,"Abbott, Berenice",Female,1898.0,1
3,1,"Abbott, Lemuel Francis",Male,1760.0,0
4,622,"Abrahams, Ivor",Male,1935.0,0
5,2606,Absalon,Male,1964.0,0
6,9550,"Abts, Tomma",Female,1967.0,1
7,623,"Acconci, Vito",Male,1940.0,0
8,624,"Ackling, Roger",Male,1947.0,0
9,625,"Ackroyd, Norman",Male,1938.0,0
10,2411,"Adam, Robert",Male,1728.0,0
11,626,"Adams, Harry William",Male,1868.0,0
12,627,"Adams, Norman",Male,1927.0,0
13,628,"Adams, Robert",Male,1917.0,0
14,629,"Adeney, Bernard",Male,1878.0,0
15,630,"Adler, Jankel",Male,1895.0,0
16,2608,"Adshead, Mary",Female,1904.0,1
17,631,"Adzak, Roy",Male,1927.0,0
18,632,Afro,Male,1912.0,0
19,633,"Agar, Eileen",Female,1899.0,1
20,2,"Agasse, Jacques Laurent",Male,1767.0,0
21,3098,"Ahtila, Eija-Liisa",Female,1959.0,1
22,8208,"Ai, Weiwei",Male,1957.0,0
23,634,"Aitchison, Craigie",Male,1926.0,0
24,635,"Ajmone, Giuseppe",Male,1923.0,0
25,14744,"Aksel, Erdag",Male,1953.0,0
26,7794,"Al-Ani, Jananne",Female,1966.0,1
27,3067,"Albers, Anni",Female,1899.0,1
28,636,"Albers, Josef",Male,1888.0,0
29,637,"Albright, Ivan",Male,1897.0,0
30,638,"Aldridge, John",Male,1905.0,0
31,639,"Alechinsky, Pierre",Male,1927.0,0
32,640,"Alexander, Edwin",Male,1870.0,0
33,2470,"Alexander, William",Male,1767.0,0
34,11315,"Alimpiev, Victor",Male,1973.0,0
35,2472,Alken Family,Male,1756.0,0
36,3,"Alken, Henry Thomas",Male,1785.0,0
37,2471,"Alken, Samuel, Senior",Male,1756.0,0
38,2473,"Allan, David",Male,1744.0,0
39,641,"Allan, Julian Phelps",Female,1892.0,1
40,4,"Allan, Sir William",Male,1782.0,0
41,2304,"Allen, George Warner",Male,1916.0,0
42,5,"Allen, Joseph William",Male,1803.0,0
43,12153,"Allen, Phillip",Male,1967.0,0
44,12520,"Allen, Richard",Male,1933.0,0
45,642,"Alley, Anthea",Female,1927.0,1
46,643,"Allington, Edward",Male,1951.0,0
47,644,"Allinson, Adrian",Male,1890.0,0
48,2273,"Allom, Thomas",Male,1804.0,0
49,6259,"Allora, Jennifer",Female,1974.0,1
50,6,"Alma-Tadema, Sir Lawrence",Male,1836.0,0
51,12989,"Almeida, Helena",Female,1934.0,1
52,2657,"Almond, Darren",Male,1971.0,0
53,7620,"Althamer, Pawel",Male,1967.0,0
54,645,"Altoon, John",Male,1925.0,0
55,4427,"Alÿs, Francis",Male,1959.0,0
56,7,"Amiconi, Giacomo",Male,1682.0,0
57,646,"Amiet, Cuno",Male,1868.0,0
58,7533,"Amorales, Carlos",Male,1970.0,0
59,647,"Amuchastegui, Axel",Male,1921.0,0
60,14647,"Amzalag, Michael",Male,1967.0,0
61,12583,"Anderson, Hurvin",Male,1965.0,0
62,8,"Anderton, Henry",Male,1630.0,0
63,8961,"Andrade Tudela, Armando",Male,1975.0,0
64,15587,"Andrade, Jonathas de",Male,1982.0,0
65,648,"Andre, Carl",Male,1935.0,0
66,2704,"Andreenko, Michel",Male,1894.0,0
67,649,"Andrews, Michael",Male,1928.0,0
68,9,"Angellis, Peter",Male,1685.0,0
69,650,"Annesley, David",Male,1936.0,0
71,651,"Anquetin, Louis",Male,1861.0,0
72,652,"Anrep, Boris",Male,1883.0,0
73,13677,"Ansarinia, Nazgol",Female,1979.0,1
74,10,"Ansdell, Richard",Male,1815.0,0
75,12475,"Anselmo, Giovanni",Male,1934.0,0
77,11604,"Antin, Eleanor",Female,1935.0,1
78,653,"Anuszkiewicz, Richard",Male,1930.0,0
79,10241,"Apóstol, Alexander",Male,1969.0,0
80,654,"Appel, Karel",Male,1921.0,0
81,655,"Appelbee, Leonard",Male,1914.0,0
82,656,"Appleyard, Fred",Male,1874.0,0
83,2364,"Araeen, Rasheed",Male,1935.0,0
84,657,"Arakawa, Shusaku",Male,1936.0,0
85,2752,"Araki, Nobuyoshi",Male,1940.0,0
86,10494,"Araujo, Juan",Male,1971.0,0
87,5271,"Arbus, Diane",Female,1923.0,1
88,12604,"Arcangel, Cory",Male,1978.0,0
89,658,"Archipenko, Alexander",Male,1887.0,0
90,659,"Ardizzone, Edward",Male,1900.0,0
91,660,"Ardon, Mordecai",Male,1896.0,0
92,661,"Arikha, Avigdor",Male,1929.0,0
93,662,Arman,Male,1928.0,0
94,663,"Armfield, Maxwell Ashby",Male,1881.0,0
95,11,"Armitage, Edward",Male,1817.0,0
96,664,"Armitage, Kenneth",Male,1916.0,0
97,12,"Armstead, Henry Hugh",Male,1828.0,0
98,665,"Armstrong, John",Male,1893.0,0
99,13,"Arnald, George",Male,1763.0,0
100,666,"Arnatt, Keith",Male,1930.0,0
101,667,"Arp, Jean",Male,1886.0,0
102,16245,Art & Language (Harold Hurrell),Male,1940.0,0
103,16236,Art & Language (Ian Burn),Male,1939.0,0
104,16838,Art & Language (Michael Baldwin),Male,1945.0,0
105,2202,"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)",Male,1944.0,0
106,17138,"Art & Language (Terry Atkinson, born 1939; David Bainbridge, born 1941; Michael Baldwin, born 1945; Harold Hurrell, born",Male,1967.0,0
107,668,"Art & Language (Terry Atkinson, born 1939; Michael Baldwin, born 1945)",Male,1939.0,0
108,2474,"Artaud, William",Male,1763.0,0
109,669,"Artschwager, Richard",Male,1923.0,0
110,670,"Askew, Victor",Male,1909.0,0
111,5229,"Ataman, Kutlug",Male,1961.0,0
112,6630,"Atay, Fikret",Male,1974.0,0
113,15601,"Atkins, Ed",Male,1982.0,0
114,14,"Atkins, Samuel",Male,1787.0,0
115,671,"Atkinson, Conrad",Male,1940.0,0
116,2412,"Atkinson, John Augustus",Male,1775.0,0
117,672,"Atkinson, Lawrence",Male,1873.0,0
118,11829,"Atkinson, Terry",Male,1939.0,0
119,673,"Atlan, Jean-Michel",Male,1913.0,0
121,15557,"Atlas, Charles",Male,1958.0,0
122,13674,"Attia, Kader",Male,1970.0,0
123,674,"Atwood, Clare",Female,1866.0,1
124,675,"Auerbach, Arnold",Male,1898.0,0
125,676,"Auerbach, Frank",Male,1931.0,0
126,14648,"Augustyniak, Mathias",Male,1968.0,0
127,15,"Aumonier, James",Male,1832.0,0
128,2398,"Austen, David",Male,1960.0,0
129,677,"Austin, Robert",Male,1895.0,0
130,5711,"Avedon, Richard",Male,1923.0,0
131,10764,"Avery, Charles",Male,1973.0,0
132,678,"Avery, Milton",Male,1893.0,0
133,2714,"Aviline, François Antoine",Male,1727.0,0
134,2479,"Aylesford, Heneage Finch, Fifth Earl of",Male,1786.0,0
135,2480,"Aylesford, Heneage Finch, Fourth Earl of",Male,1751.0,0
136,679,"Ayot, Pierre",Male,1943.0,0
137,680,"Ayres, OBE Gillian",Female,1930.0,1
138,681,"Ayrton, Michael",Male,1921.0,0
139,14743,"Baalbaki, Ayman",Male,1975.0,0
140,13866,"Bäckström, Miriam",Female,1967.0,1
141,682,"Bacon, Francis",Male,1909.0,0
142,18070,"Bacon, John",Male,1740.0,0
143,683,"Bacon, John Henry F.",Male,1868.0,0
144,2370,"Bacon, Sir Nathaniel",Male,1585.0,0
145,12918,"Baehnisch, Ruth",Female,1910.0,1
146,684,"Baer, Jo",Female,1929.0,1
147,685,"Baertling, Olle",Male,1911.0,0
148,16,"Baily, Edward Hodges",Male,1788.0,0
149,686,"Baj, Enrico",Male,1924.0,0
150,13678,"Bakhshi Moakhar, Mahmoud",Male,1977.0,0
151,687,"Baldessari, John",Male,1931.0,0
152,2360,"Balka, Miroslaw",Male,1958.0,0
153,688,"Balla, Giacomo",Male,1871.0,0
154,12038,"Ballen, Roger",Male,1950.0,0
155,5373,"Baltz, Lewis",Male,1945.0,0
156,690,"Banc, Jef",Male,1930.0,0
157,2687,"Banner, Fiona",Female,1966.0,1
158,691,"Banting, John",Male,1902.0,0
159,692,"Baran, Stefan",Male,1922.0,0
160,4731,"Barclay, Claire",Female,1968.0,1
161,18,"Barenger, James",Male,1780.0,0
162,12686,"Barham, Anna",Female,1974.0,1
163,693,"Barker, Clive",Male,1940.0,0
164,694,"Barker, Margaret",Female,1907.0,1
165,19,"Barker, Thomas, of Bath",Male,1769.0,0
166,695,"Barlach, Ernst",Male,1870.0,0
167,20,"Barlow, Francis",Male,1626.0,0
168,10908,"Barlow, Phyllida",Female,1944.0,1
169,2476,"Barnard, Rev. William Henry",Male,1767.0,0
170,2362,"Barney, Matthew",Male,1967.0,0
171,696,"Barni, Roberto",Male,1939.0,0
172,697,"Barns-Graham, Wilhelmina",Female,1912.0,1
173,14953,"Barrada, Yto",Female,1971.0,1
174,22,"Barret, George, Junior",Male,1767.0,0
175,21,"Barret, George, Senior",Male,1728.0,0
176,10168,"Barriball, Anna",Female,1972.0,1
177,23,"Barron, Hugh",Male,1747.0,0
178,14311,"Barros, Geraldo de",Male,1923.0,0
179,2477,"Barrow, Joseph Charles",Male,1789.0,0
180,24,"Barry, James",Male,1741.0,0
181,6882,"Bartana, Yael",Female,1970.0,1
182,2678,"Barth, Uta",Female,1958.0,1
183,698,"Bartlett, Jennifer",Female,1941.0,1
184,2478,"Bartolozzi, Francesco",Male,1727.0,0
185,6217,"Basbaum, Ricardo",Male,1961.0,0
186,699,"Baselitz, Georg",Male,1938.0,0
187,700,"Baskin, Leonard",Male,1922.0,0
188,4915,"Batchelor, David",Male,1955.0,0
189,25,"Bateman, James",Male,1815.0,0
190,701,"Bateman, James",Male,1893.0,0
191,26,"Bates, Harry",Male,1850.0,0
192,702,"Bates, Maxwell",Male,1906.0,0
193,8807,"Batterham, Richard",Male,1936.0,0
194,703,"Bauchant, André",Male,1873.0,0
195,704,"Bauer, Marius",Male,1867.0,0
196,705,"Baumeister, Willi",Male,1889.0,0
197,706,"Baumgarten, Lothar",Male,1944.0,0
198,707,"Bawden, Edward",Male,1903.0,0
199,708,"Bawden, Richard",Male,1936.0,0
200,709,"Baxter, Glen",Male,1944.0,0
201,710,"Baxter, Iain",Male,1936.0,0
202,2413,"Baxter, Thomas Tennant",Male,1894.0,0
203,711,"Bayer, Herbert",Male,1900.0,0
204,712,"Bayes, Gilbert",Male,1872.0,0
205,713,"Bayes, Walter",Male,1869.0,0
206,6275,"Baynard, Ed",Male,1940.0,0
207,714,"Baziotes, William",Male,1912.0,0
208,27,"Beach, Thomas",Male,1738.0,0
209,2306,"Beale, Mary",Female,1633.0,1
210,715,"Beament, Tib",Male,1941.0,0
211,2705,"Beard, John",Male,1943.0,0
212,716,"Beardsley, Aubrey",Male,1872.0,0
213,28,"Beare, George",Male,1743.0,0
214,717,"Beattie, Basil",Male,1935.0,0
215,29,"Beaumont, Sir George Howland, Bt",Male,1753.0,0
216,10983,"Beban, Breda",Female,1952.0,1
217,718,"Becher, Prof. Bernd",Male,1931.0,0
218,2557,"Becker, Ferdinand",Male,1793.0,0
219,719,"Becker, Harald",Male,1940.0,0
220,6303,"Beckley, Bill",Male,1946.0,0
221,720,"Beckmann, Max",Male,1884.0,0
222,9118,"Bedia, Jose",Male,1959.0,0
223,30,"Beechey, Sir William",Male,1753.0,0
224,721,"Beer, Richard",Male,1928.0,0
225,722,"Beerbohm, Sir Max",Male,1872.0,0
226,723,"Beeton, Alan",Male,1880.0,0
227,724,"Beggs, Guy",Male,1947.0,0
228,31,"Behnes, William",Male,1795.0,0
229,725,"Belcher, George",Male,1875.0,0
230,11822,"Belhaj-Kacem, Mehdi",Male,1973.0,0
231,726,"Bell, Graham",Male,1910.0,0
232,32,"Bell, John Zephaniah",Male,1794.0,0
233,727,"Bell, Larry",Male,1939.0,0
234,728,"Bell, Laura Anning",Female,1867.0,1
235,729,"Bell, Robert Anning",Male,1863.0,0
236,730,"Bell, Trevor",Male,1930.0,0
237,731,"Bell, Vanessa",Female,1879.0,1
238,732,"Bellany, John",Male,1942.0,0
239,733,"Bellegarde, Claude",Male,1927.0,0
240,735,"Bellingham-Smith, Elinor",Female,1906.0,1
241,736,"Bellmer, Hans",Male,1902.0,0
243,2549,"Benazech, Peter Paul",Male,1744.0,0
245,7290,"Benglis, Lynda",Female,1941.0,1
246,737,"Benjamin, Anthony",Male,1931.0,0
247,33,"Bennett, William",Male,1811.0,0
248,738,"Benois, Alexander",Male,1870.0,0
249,739,"Benois, Nadia",Female,1896.0,1
250,2240,"Benrath, Frédéric",Male,1930.0,0
251,740,"Benson, Abraham Harris",Male,1878.0,0
